geography,factor,age_group,gender,direct,cost_per_case_uk,forex_rate,cost_per_case_local,healthcare_expenditure_factor,cost_per_case_adjusted
Singapore,alzheimer and other dementia,adult,all,True,6323.486659,1.7109999656677246,10819.485456449314,0.821939042491735,8892.957516327202
Singapore,depression,adult,all,True,3851.242246,1.7109999656677246,6589.475350684091,0.821939042491735,5416.147060264171
Singapore,anxiety,adult,all,True,1481.424011,1.7109999656677246,2534.716431960343,0.821939042491735,2083.382397073551
Singapore,coronary heart disease,adult,all,False,2736.767361,1.7109999656677246,4682.60886071155,0.821939042491735,3848.8190433365653
Singapore,stroke,adult,all,False,52088.28766,1.7109999656677246,89123.05839795056,0.821939042491735,73253.72128354646
Singapore,diabetes (type 2),adult,all,False,4739.699408,1.7109999656677246,8109.625524363335,0.821939042491735,6665.617838461734
Singapore,breast cancer,adult,all,False,2831.286259,1.7109999656677246,4844.3306919445,0.821939042491735,3981.7445304501866
Singapore,endometrial uterine cancer,adult,all,False,15131.93694,1.7109999656677246,25890.743584826174,0.821939042491735,21280.612991511054
Singapore,colon cancer,adult,all,False,11265.68345,1.7109999656677246,19275.583996173453,0.821939042491735,15843.355053283818
Singapore,osteoporosis,adult,all,False,8060.514695,1.7109999656677246,13791.54036640919,0.821939042491735,11335.805483252481
Singapore,alzheimer and other dementia,adult,all,False,15146.95642,1.7109999656677246,25916.441914590523,0.821939042491735,21301.735452071203
Singapore,depression,adult,all,False,13347.27888,1.7109999656677246,22837.193705437545,0.821939042491735,18770.781127445614
Singapore,anxiety,adult,all,False,3223.17072,1.7109999656677246,5514.844991261215,0.821939042491735,4532.866411607583
Singapore,obesity,adult,all,True,622.3078197,1.7109999656677246,1064.7686581414566,0.821939042491735,875.1749313479984
Singapore,obesity,adult,all,False,2789.36264,1.7109999656677246,4772.599381274834,0.821939042491735,3922.7857656416836
Spain,coronary heart disease,adult,all,True,2252.10299,1.200369954109192,2703.3567627554735,0.5607523443014522,1515.9136421983164
Spain,stroke,adult,all,True,2401.050289,1.200369954109192,2882.1486252207915,0.5607523443014522,1616.1715982177664
Spain,diabetes (type 2),adult,all,True,2068.273017,1.200369954109192,2482.69278650157,0.5607523443014522,1392.17580021106
Spain,breast cancer,adult,all,True,978.2347643,1.200369954109192,1174.2436191308072,0.5607523443014522,658.4598622086216
Spain,endometrial uterine cancer,adult,all,True,5880.820946,1.200369954109192,7059.160769074394,0.5607523443014522,3958.4409500593083
Spain,colon cancer,adult,all,True,4035.722421,1.200369954109192,4844.359937293207,0.5607523443014522,2716.4861914772014
Spain,osteoporosis,adult,all,True,8261.739544,1.200369954109192,9917.143917293375,0.5607523443014522,5561.0617003971465
Spain,alzheimer and other dementia,adult,all,True,6323.486659,1.200369954109192,7590.523390673918,0.5607523443014522,4256.403785795406
Spain,depression,adult,all,True,3851.242246,1.200369954109192,4622.915478094401,0.5607523443014522,2592.310691848904
Spain,anxiety,adult,all,True,1481.424011,1.200369954109192,1778.2568721003252,0.5607523443014522,997.1617098004249
Spain,coronary heart disease,adult,all,False,2736.767361,1.200369954109192,3285.1333115311045,0.5607523443014522,1842.1462057838596
Spain,stroke,adult,all,False,52088.28766,1.200369954109192,62525.21546806059,0.5607523443014522,35061.16115166839
Spain,diabetes (type 2),adult,all,False,4739.699408,1.200369954109192,5689.392760872324,0.5607523443014522,3190.340328310867
Spain,breast cancer,adult,all,False,2831.286259,1.200369954109192,3398.5909567858157,0.5607523443014522,1905.7678463393615
Spain,endometrial uterine cancer,adult,all,False,15131.93694,1.200369954109192,18163.922450250986,0.5607523443014522,10185.462095688017
Spain,colon cancer,adult,all,False,11265.68345,1.200369954109192,13522.987925885183,0.5607523443014522,7583.047181400349
Spain,osteoporosis,adult,all,False,8060.514695,1.200369954109192,9675.599654533617,0.5607523443014522,5425.615188802046
Spain,alzheimer and other dementia,adult,all,False,15146.95642,1.200369954109192,18181.95138276933,0.5607523443014522,10195.57186186293
