geography,factor,age_group,gender,direct,cost_per_case,cost_inflated,forex_rate,inflation_rate,cost_per_case_adjusted,base_year
Spain,anxiety,adult,all,TRUE,1385.519995,1840.339223,1.254999995,1.328266088,1031.974533,2008
Spain,coronary heart disease,adult,all,FALSE,3118.217936,3808.788168,1.139379978,1.221463107,2135.786894,2017
Spain,stroke,adult,all,FALSE,50733.20369,60332.64021,1.117249966,1.189214081,33831.66943,2019
Spain,diabetes (type 2),adult,all,FALSE,4641.080256,5835.117781,1.238899946,1.257275776,3272.055975,2012
Spain,breast cancer,adult,all,FALSE,3019.255724,3743.786893,1.199499965,1.239970124,2099.337277,2016
Spain,endometrial uterine cancer,adult,all,FALSE,16136.54916,20008.83886,1.199499965,1.239970124,11220.0033,2016
Spain,colon cancer,adult,all,FALSE,12013.61589,14896.52478,1.199499965,1.239970124,8353.261191,2016
Spain,osteoporosis,adult,all,FALSE,7893.887879,9723.857435,1.168300033,1.231821073,5452.675853,2013
Spain,alzheimer and other dementia,adult,all,FALSE,18924.60765,23291.97898,1.24940002,1.230777378,13061.03181,2014
Spain,depression,adult,all,FALSE,12483.20885,16581.02298,1.254999995,1.328266088,9297.847508,2008
Spain,anxiety,adult,all,FALSE,3014.509989,4004.071388,1.254999995,1.328266088,2245.292418,2008
Spain,obesity,adult,all,TRUE,703.5812058,840.3203692,1.130599976,1.194347379,471.211617,2018
Spain,obesity,adult,all,FALSE,3153.653333,3766.557593,1.130599976,1.194347379,2112.106,2018
USA (United States of America),coronary heart disease,adult,all,TRUE,3001.76348,3917.737282,1.332871318,1.305145228,10147.05672,2016
USA (United States of America),stroke,adult,all,TRUE,2833.498106,3639.234358,1.301642656,1.284360964,9425.725819,2017
USA (United States of America),diabetes (type 2),adult,all,TRUE,2563.567409,3513.483629,1.568209291,1.370544662,9100.027671,2012
USA (United States of America),breast cancer,adult,all,TRUE,11599.97908,15139.65734,1.332871318,1.305145228,39212.16527,2016
USA (United States of America),endometrial uterine cancer,adult,all,TRUE,6968.544481,9094.962578,1.332871318,1.305145228,23556.22506,2016
USA (United States of America),colon cancer,adult,all,TRUE,4622.437107,5639.803598,1.238927126,1.220093095,14607.25998,2020
USA (United States of America),osteoporosis,adult,all,TRUE,8624.674193,10765.52649,1.320777059,1.248224136,27883.03556,2018
USA (United States of America),alzheimer and other dementia,adult,all,TRUE,10819.3656,14298.83721,1.710981011,1.321596639,37034.41598,2014
USA (United States of America),depression,adult,all,TRUE,5718.618007,8220.905429,1.992508173,1.437568556,21292.39091,2008
USA (United States of America),anxiety,adult,all,TRUE,2199.729023,3162.261275,1.992508173,1.437568556,8190.351269,2008
USA (United States of America),coronary heart disease,adult,all,FALSE,3562.293138,4575.270247,1.301642656,1.284360964,11850.08676,2017
USA (United States of America),stroke,adult,all,FALSE,57644.65303,70787.65193,1.26945436,1.228000312,183342.1354,2019
USA (United States of America),diabetes (type 2),adult,all,FALSE,5874.715869,8051.560477,1.568209291,1.370544662,20853.78242,2012
USA (United States of America),breast cancer,adult,all,FALSE,3354.96413,4378.715425,1.332871318,1.305145228,11341.0039,2016
USA (United States of America),endometrial uterine cancer,adult,all,FALSE,17930.75796,23402.24319,1.332871318,1.305145228,60612.50972,2016
